#um    star(nufnu) model
1.000000000000000056e-01 1.042880175258985695e-27 4.546559215516417201e-69
1.250576959999999960e-01 2.773088721438233840e-23 2.773088692721325913e-23
1.563942732999999974e-01 3.517810961561379949e-20 3.517810925132665421e-20
1.955830748000000063e-01 1.872741583986760809e-17 1.872741564593873625e-17
2.445916871000000103e-01 5.242438911729992716e-15 5.242438857442715932e-15
3.058807284999999765e-01 6.587030427562848176e-13 6.587030359349802858e-13
3.825273914999999803e-01 1.118273275306964092e-11 1.118273263735383284e-11
4.783799423000000273e-01 4.931547778281129446e-11 4.931547737698692167e-11
5.982509338999999482e-01 1.216244956370656398e-10 1.216245202154948839e-10
7.481588341999999558e-01 1.730962281705337998e-10 1.730980071548595022e-10
9.356302004000000005e-01 2.715254412172103296e-10 2.715697381360308498e-10
1.170077572000000066e+00 3.175947909126470052e-10 3.180808977239043174e-10
1.463272051999999990e+00 3.427209820323177833e-10 3.455217351783074012e-10
1.829934315000000034e+00 2.915389977123827988e-10 3.010922750059031670e-10
2.288473692000000170e+00 1.640320763798808199e-10 1.857576895053609454e-10
2.861912472999999846e+00 9.907432249202034139e-11 1.356932908219188113e-10
3.579041800000000162e+00 5.592779282587311736e-11 1.018001733380090977e-10
4.475867212999999900e+00 2.677356268405905346e-11 7.407992613535334753e-11
5.597416412000000285e+00 1.544437330020326170e-11 6.073147261956539048e-11
7.000000000000000000e+00 9.442003743054511848e-12 4.933419701672898981e-11
7.180503189000000397e+00 8.747695357757427130e-12 4.780294737328502042e-11
7.365660862999999559e+00 8.104442252051340301e-12 4.645531873993886740e-11
7.555593045000000174e+00 7.508490124772191025e-12 4.622001903663778199e-11
7.750422849999999642e+00 6.956360747438369152e-12 4.599719848507013743e-11
7.950276568999999682e+00 6.444831655960664966e-12 4.683121264831466014e-11
8.155283751000000692e+00 5.970917348128179386e-12 4.854424330735755005e-11
8.365577282000000281e+00 5.531851860198071835e-12 5.015896200270236646e-11
8.581293477999999197e+00 5.125072618046570321e-12 5.192018200369576073e-11
8.802572168999999391e+00 4.748205482717037973e-12 5.365936320118087091e-11
9.029556789000000805e+00 4.399050899883211262e-12 5.529743537042217171e-11
9.262394474000000599e+00 4.075571053367173151e-12 5.676474524410859725e-11
9.501236151000000518e+00 3.775877975521520316e-12 5.825164930930119169e-11
9.746236638999999258e+00 3.498222531465620761e-12 5.809804605287323100e-11
9.997554751999999212e+00 3.240984205430168283e-12 5.734971170860148220e-11
1.025535340000000062e+01 3.002661643691702741e-12 5.654233967172970286e-11
1.051979968000000021e+01 2.781863897496947278e-12 5.498253541035702855e-11
1.079106501999999956e+01 2.577302294348407664e-12 5.345008214092021695e-11
1.106932525999999939e+01 2.387782923645544882e-12 5.180634836028243696e-11
1.135476075999999956e+01 2.212199673193579733e-12 5.005472601090208419e-11
1.164755654000000007e+01 2.049527764579121674e-12 4.831061812299280718e-11
1.194790242000000013e+01 1.898817771231455712e-12 4.652974208705354704e-11
1.225599305999999977e+01 1.759190088309868738e-12 4.474190592755422994e-11
1.257202816999999939e+01 1.629829790876206143e-12 4.309248384279081801e-11
1.289621263000000084e+01 1.509981871748467583e-12 4.173701901701753589e-11
1.322875656000000077e+01 1.398946851689452394e-12 4.038484094490166417e-11
1.356987552000000008e+01 1.296076681665793734e-12 3.944865718836063543e-11
1.391979062999999961e+01 1.200770968274490394e-12 3.867786164521352008e-11
1.427872872000000015e+01 1.112473464602599801e-12 3.809699780079516137e-11
1.464692244000000088e+01 1.030668831659721805e-12 3.857767492713632839e-11
1.502461047000000072e+01 9.548796206531837051e-13 3.910568472849502280e-11
1.541203763000000038e+01 8.846634943797793778e-13 3.977712421132880521e-11
1.580945503999999957e+01 8.196106415405539806e-13 4.057813089410361809e-11
1.621712034000000102e+01 7.593413853014467946e-13 4.143113499167795744e-11
1.663529774999999944e+01 7.035039696393591594e-13 4.182517120241494438e-11
1.706425837000000101e+01 6.517725022933004788e-13 4.223680066771150797e-11
1.750428022999999911e+01 6.038450575937138798e-13 4.259982170147582340e-11
1.795564857000000103e+01 5.594419099355075379e-13 4.283173431941957561e-11
1.841865598000000048e+01 5.183039034838736560e-13 4.310109703833978107e-11
1.889360256999999876e+01 4.801909397373437548e-13 4.300233876285457534e-11
1.938079620999999975e+01 4.448805750881200266e-13 4.279180563681745715e-11
1.988055270999999991e+01 4.121667230967045426e-13 4.256775609639775943e-11
2.039319602000000131e+01 3.818584516143899479e-13 4.220436426592286262e-11
2.091905842999999976e+01 3.537788690396709223e-13 4.184403440789747811e-11
2.145848082999999917e+01 3.277640905061213601e-13 4.159913598812506228e-11
2.201181285999999915e+01 3.036622830144154698e-13 4.145007278271062597e-11
2.257941320000000118e+01 2.813327781180226447e-13 4.130949280992280886e-11
2.316164978000000119e+01 2.606452511644946978e-13 4.138345155935821155e-11
2.375890001999999868e+01 2.414789609481133502e-13 4.148082291069910483e-11
2.437155105000000077e+01 2.237220449473477720e-13 4.163649558606416917e-11
2.500000000000000000e+01 2.072708661934876300e-13 4.188286519037062377e-11
3.073733534000000134e+01 1.115217671429740007e-13 4.058572915865371526e-11
3.779135136000000017e+01 6.000411333263306555e-14 3.684240461128491898e-11
4.646421758999999696e+01 3.228511985858711100e-14 3.400249706540392950e-11
5.712744949999999733e+01 1.737095851607525965e-14 3.107916057626397252e-11
7.023782289999999762e+01 9.346417209988529011e-15 2.752320308116207940e-11
8.635694064999999853e+01 5.028825241121642056e-15 2.368466815490090057e-11
1.061752898000000016e+02 2.705751597897645796e-15 2.007580905242735112e-11
1.305418194000000085e+02 1.455825439371329396e-15 1.700213995853699391e-11
1.605003072000000088e+02 7.833046129930170482e-16 1.456535084217219682e-11
1.973340705999999898e+02 4.214558286706854207e-16 1.244714776386189053e-11
2.426209401000000128e+02 2.267636530753347410e-16 1.015382529085157940e-11
2.983008479000000079e+02 1.220098308130756224e-16 7.674830253515810900e-12
3.667589277999999808e+02 6.564719968650152704e-17 5.354709614519465832e-12
4.509276861999999824e+02 3.532137366688705022e-17 3.358375045467104006e-12
5.544126201999999921e+02 1.900461016228950934e-17 1.901626428547107383e-12
6.816466649999999845e+02 1.022540093571815671e-17 1.018280612559153440e-12
8.380800851000000193e+02 5.501761068853735053e-18 5.153807156245072260e-13
1.030413945000000012e+03 2.960213984511027311e-18 2.467837423447727869e-13
1.266887157999999999e+03 1.592738530311491375e-18 1.126924946539101448e-13
1.557629417000000103e+03 8.569704889449581632e-19 4.887893444981541605e-14
1.915095109000000093e+03 4.610916385683595582e-19 1.965324785976469147e-14
2.354596824000000197e+03 2.480896387836836499e-19 7.334551049858576017e-15
2.894961287000000084e+03 1.334842442586643489e-19 2.565022050806970827e-15
3.559335834999999861e+03 7.182098998307665718e-20 8.638808295719700841e-16
4.376179965999999695e+03 3.864317195188497738e-20 2.874599447149075927e-16
5.380484445000000051e+03 2.079189856401371443e-20 8.525428019939048398e-17
6.615270188000000417e+03 1.118704868032227227e-20 2.637366789112686626e-17
8.133431126000000404e+03 6.019174140620230975e-21 9.444656498859261633e-18
1.000000000000000000e+04 3.238607284117265554e-21 3.512906755445426116e-18
