#um    star(nufnu) model
1.000000000000000056e-01 1.042880175258985695e-27 5.581020862171720706e-66
1.250576959999999960e-01 2.773088721438233840e-23 2.773088692721325913e-23
1.563942732999999974e-01 3.517810961561379949e-20 3.517810925132665421e-20
1.955830748000000063e-01 1.872741583986760809e-17 1.872741564593873625e-17
2.445916871000000103e-01 5.242438911729992716e-15 5.242438857442715932e-15
3.058807284999999765e-01 6.587030427562848176e-13 6.587030359349802858e-13
3.825273914999999803e-01 1.118273275306964092e-11 1.118273263760501302e-11
4.783799423000000273e-01 4.931547778281129446e-11 4.931547757773409206e-11
5.982509338999999482e-01 1.216244956370656398e-10 1.216245551125734798e-10
7.481588341999999558e-01 1.730962281705337998e-10 1.730997969411776174e-10
9.356302004000000005e-01 2.715254412172103296e-10 2.716043520432361129e-10
1.170077572000000066e+00 3.175947909126470052e-10 3.183869212856548288e-10
1.463272051999999990e+00 3.427209820323177833e-10 3.469972371084419486e-10
1.829934315000000034e+00 2.915389977123827988e-10 3.054294575320340806e-10
2.288473692000000170e+00 1.640320763798808199e-10 1.945828516981640759e-10
2.861912472999999846e+00 9.907432249202034139e-11 1.496572198608049945e-10
3.579041800000000162e+00 5.592779282587311736e-11 1.182698311521694720e-10
4.475867212999999900e+00 2.677356268405905346e-11 9.058716241208974637e-11
5.597416412000000285e+00 1.544437330020326170e-11 7.671286609772479714e-11
7.000000000000000000e+00 9.442003743054511848e-12 6.349392556190229345e-11
7.180503189000000397e+00 8.747695357757427130e-12 6.166310881624383187e-11
7.365660862999999559e+00 8.104442252051340301e-12 6.005695469928472178e-11
7.555593045000000174e+00 7.508490124772191025e-12 5.989859688665554338e-11
7.750422849999999642e+00 6.956360747438369152e-12 5.972320953749808398e-11
7.950276568999999682e+00 6.444831655960664966e-12 6.089081842437706751e-11
8.155283751000000692e+00 5.970917348128179386e-12 6.313401802918962586e-11
8.365577282000000281e+00 5.531851860198071835e-12 6.516975716928222950e-11
8.581293477999999197e+00 5.125072618046570321e-12 6.731168854021694004e-11
8.802572168999999391e+00 4.748205482717037973e-12 6.935145645866797777e-11
9.029556789000000805e+00 4.399050899883211262e-12 7.120138298173404322e-11
9.262394474000000599e+00 4.075571053367173151e-12 7.278831509543824249e-11
9.501236151000000518e+00 3.775877975521520316e-12 7.435085458142712248e-11
9.746236638999999258e+00 3.498222531465620761e-12 7.392557751694774804e-11
9.997554751999999212e+00 3.240984205430168283e-12 7.278456293175793260e-11
1.025535340000000062e+01 3.002661643691702741e-12 7.156885685835197383e-11
1.051979968000000021e+01 2.781863897496947278e-12 6.946725248336190247e-11
1.079106501999999956e+01 2.577302294348407664e-12 6.740127855808470591e-11
