#um    star(nufnu) model
1.973340705999999898e+02 4.214558286706854207e-16 1.457815680116839577e-12
2.426209401000000128e+02 2.267636530753347410e-16 8.256981544270678595e-13
2.983008479000000079e+02 1.220098308130756224e-16 4.466534846565988692e-13
3.667589277999999808e+02 6.564719968650152704e-17 2.338067955117020534e-13
4.509276861999999824e+02 3.532137366688705022e-17 1.144108514448397688e-13
5.544126201999999921e+02 1.900461016228950934e-17 5.258898047897046115e-14
6.816466649999999845e+02 1.022540093571815671e-17 2.396984936723212818e-14
8.380800851000000193e+02 5.501761068853735053e-18 1.067810873638996237e-14
1.030413945000000012e+03 2.960213984511027311e-18 4.611056835389824498e-15
1.266887157999999999e+03 1.592738530311491375e-18 1.935734403725602698e-15
1.557629417000000103e+03 8.569704889449581632e-19 7.826197308732997225e-16
1.915095109000000093e+03 4.610916385683595582e-19 2.958792506240050734e-16
2.354596824000000197e+03 2.480896387836836499e-19 1.047754213558348828e-16
2.894961287000000084e+03 1.334842442586643489e-19 3.512890304009987791e-17
3.559335834999999861e+03 7.182098998307665718e-20 1.147549897060597572e-17
4.376179965999999695e+03 3.864317195188497738e-20 3.746688274669045819e-18
5.380484445000000051e+03 2.079189856401371443e-20 1.105332186786410394e-18
6.615270188000000417e+03 1.118704868032227227e-20 3.452829228713622219e-19
8.133431126000000404e+03 6.019174140620230975e-21 1.252840019683059701e-19
1.000000000000000000e+04 3.238607284117265554e-21 4.427671529097677736e-20
