#um    star(nufnu) model
1.000000000000000056e-01 1.042880175258985695e-27 5.275937321725404748e-69
1.250576959999999960e-01 2.773088721438233840e-23 2.773088692721325913e-23
1.563942732999999974e-01 3.517810961561379949e-20 3.517810925132665421e-20
1.955830748000000063e-01 1.872741583986760809e-17 1.872741564593873625e-17
2.445916871000000103e-01 5.242438911729992716e-15 5.242438857442715932e-15
3.058807284999999765e-01 6.587030427562848176e-13 6.587030359349802858e-13
3.825273914999999803e-01 1.118273275306964092e-11 1.118273263733426000e-11
4.783799423000000273e-01 4.931547778281129446e-11 4.931547734967634528e-11
5.982509338999999482e-01 1.216244956370656398e-10 1.216245131233371821e-10
7.481588341999999558e-01 1.730962281705337998e-10 1.730975064172554112e-10
9.356302004000000005e-01 2.715254412172103296e-10 2.715572715578049279e-10
1.170077572000000066e+00 3.175947909126470052e-10 3.179451787687410452e-10
1.463272051999999990e+00 3.427209820323177833e-10 3.447713316144669965e-10
1.829934315000000034e+00 2.915389977123827988e-10 2.986423065203990098e-10
2.288473692000000170e+00 1.640320763798808199e-10 1.806150658275437772e-10
2.861912472999999846e+00 9.907432249202034139e-11 1.283133320531468245e-10
3.579041800000000162e+00 5.592779282587311736e-11 9.325612425715792332e-11
4.475867212999999900e+00 2.677356268405905346e-11 6.607729752724717442e-11
5.597416412000000285e+00 1.544437330020326170e-11 5.456873380613298004e-11
7.000000000000000000e+00 9.442003743054511848e-12 4.447888817466201904e-11
7.180503189000000397e+00 8.747695357757427130e-12 4.305107164393492999e-11
7.365660862999999559e+00 8.104442252051340301e-12 4.178435266190955308e-11
7.555593045000000174e+00 7.508490124772191025e-12 4.149254375497887782e-11
7.750422849999999642e+00 6.956360747438369152e-12 4.117272709610700282e-11
7.950276568999999682e+00 6.444831655960664966e-12 4.171276536496255256e-11
8.155283751000000692e+00 5.970917348128179386e-12 4.291539237440154040e-11
8.365577282000000281e+00 5.531851860198071835e-12 4.395287569417665814e-11
8.581293477999999197e+00 5.125072618046570321e-12 4.503497669226439971e-11
8.802572168999999391e+00 4.748205482717037973e-12 4.603313572620273499e-11
9.029556789000000805e+00 4.399050899883211262e-12 4.689501023775577638e-11
9.262394474000000599e+00 4.075571053367173151e-12 4.757681720657539765e-11
9.501236151000000518e+00 3.775877975521520316e-12 4.823112068232159467e-11
9.746236638999999258e+00 3.498222531465620761e-12 4.762750643986715508e-11
9.997554751999999212e+00 3.240984205430168283e-12 4.657877279159632142e-11
1.025535340000000062e+01 3.002661643691702741e-12 4.549060670728399161e-11
1.051979968000000021e+01 2.781863897496947278e-12 4.386856546396968806e-11
1.079106501999999956e+01 2.577302294348407664e-12 4.228616330395572826e-11
1.106932525999999939e+01 2.387782923645544882e-12 4.064700871275427055e-11
1.135476075999999956e+01 2.212199673193579733e-12 3.895759966047574740e-11
1.164755654000000007e+01 2.049527764579121674e-12 3.730064440357960491e-11
1.194790242000000013e+01 1.898817771231455712e-12 3.564734844878446483e-11
1.225599305999999977e+01 1.759190088309868738e-12 3.401934498947789342e-11
1.257202816999999939e+01 1.629829790876206143e-12 3.251307064579511751e-11
1.289621263000000084e+01 1.509981871748467583e-12 3.122640309344432837e-11
1.322875656000000077e+01 1.398946851689452394e-12 2.996666098181634632e-11
1.356987552000000008e+01 1.296076681665793734e-12 2.899447161324905634e-11
1.391979062999999961e+01 1.200770968274490394e-12 2.814400720965624046e-11
1.427872872000000015e+01 1.112473464602599801e-12 2.742669304938796539e-11
1.464692244000000088e+01 1.030668831659721805e-12 2.736647171911719448e-11
1.502461047000000072e+01 9.548796206531837051e-13 2.733298519655559276e-11
1.541203763000000038e+01 8.846634943797793778e-13 2.738263008022793380e-11
1.580945503999999957e+01 8.196106415405539806e-13 2.750506906411134815e-11
1.621712034000000102e+01 7.593413853014467946e-13 2.765385030809065591e-11
1.663529774999999944e+01 7.035039696393591594e-13 2.753734889124780607e-11
1.706425837000000101e+01 6.517725022933004788e-13 2.743416840539452774e-11
1.750428022999999911e+01 6.038450575937138798e-13 2.730756261671777810e-11
1.795564857000000103e+01 5.594419099355075379e-13 2.711352066835508502e-11
1.841865598000000048e+01 5.183039034838736560e-13 2.694693150805070719e-11
1.889360256999999876e+01 4.801909397373437548e-13 2.658880208351682238e-11
1.938079620999999975e+01 4.448805750881200266e-13 2.618286225862020089e-11
1.988055270999999991e+01 4.121667230967045426e-13 2.578318661017901782e-11
2.039319602000000131e+01 3.818584516143899479e-13 2.532527500744240655e-11
2.091905842999999976e+01 3.537788690396709223e-13 2.488398196487438305e-11
2.145848082999999917e+01 3.277640905061213601e-13 2.451554283709949513e-11
2.201181285999999915e+01 3.036622830144154698e-13 2.420799455209030190e-11
2.257941320000000118e+01 2.813327781180226447e-13 2.391649751094663751e-11
2.316164978000000119e+01 2.606452511644946978e-13 2.374104687339381994e-11
2.375890001999999868e+01 2.414789609481133502e-13 2.358607001404051433e-11
2.437155105000000077e+01 2.237220449473477720e-13 2.346716555073061163e-11
2.500000000000000000e+01 2.072708661934876300e-13 2.339818899554959010e-11
3.073733534000000134e+01 1.115217671429740007e-13 2.152460956770196929e-11
3.779135136000000017e+01 6.000411333263306555e-14 1.883497505338185256e-11
4.646421758999999696e+01 3.228511985858711100e-14 1.653342643618788569e-11
5.712744949999999733e+01 1.737095851607525965e-14 1.417884900178814248e-11
7.023782289999999762e+01 9.346417209988529011e-15 1.142292541897407392e-11
8.635694064999999853e+01 5.028825241121642056e-15 8.533368351458335046e-12
1.061752898000000016e+02 2.705751597897645796e-15 5.965928024335607438e-12
1.305418194000000085e+02 1.455825439371329396e-15 3.919369022375771458e-12
1.605003072000000088e+02 7.833046129930170482e-16 2.440873423868888913e-12
