#um    star(nufnu) model
1.000000000000000056e-01 1.042880175258985695e-27 1.277343682117255253e-67
1.250576959999999960e-01 2.773088721438233840e-23 2.773088692721325913e-23
1.563942732999999974e-01 3.517810961561379949e-20 3.517810925132665421e-20
1.955830748000000063e-01 1.872741583986760809e-17 1.872741564593873625e-17
2.445916871000000103e-01 5.242438911729992716e-15 5.242438857442715932e-15
3.058807284999999765e-01 6.587030427562848176e-13 6.587030359349802858e-13
3.825273914999999803e-01 1.118273275306964092e-11 1.118273263737340568e-11
4.783799423000000273e-01 4.931547778281129446e-11 4.931547738877717284e-11
5.982509338999999482e-01 1.216244956370656398e-10 1.216245212438181367e-10
7.481588341999999558e-01 1.730962281705337998e-10 1.730979948184220824e-10
9.356302004000000005e-01 2.715254412172103296e-10 2.715680818719037830e-10
1.170077572000000066e+00 3.175947909126470052e-10 3.180526424278895866e-10
1.463272051999999990e+00 3.427209820323177833e-10 3.453255177927087927e-10
1.829934315000000034e+00 2.915389977123827988e-10 3.003474615746352404e-10
2.288473692000000170e+00 1.640320763798808199e-10 1.840209713709007295e-10
2.861912472999999846e+00 9.907432249202034139e-11 1.330061371738937349e-10
3.579041800000000162e+00 5.592779282587311736e-11 9.842020734032088785e-11
4.475867212999999900e+00 2.677356268405905346e-11 7.070213948183014702e-11
5.597416412000000285e+00 1.544437330020326170e-11 5.785834011317302824e-11
7.000000000000000000e+00 9.442003743054511848e-12 4.681253658760391822e-11
7.180503189000000397e+00 8.747695357757427130e-12 4.530917559006647091e-11
7.365660862999999559e+00 8.104442252051340301e-12 4.397733472520888722e-11
7.555593045000000174e+00 7.508490124772191025e-12 4.367624898398941280e-11
7.750422849999999642e+00 6.956360747438369152e-12 4.337517910426368515e-11
7.950276568999999682e+00 6.444831655960664966e-12 4.403559743416215420e-11
8.155283751000000692e+00 5.970917348128179386e-12 4.547789161751130887e-11
8.365577282000000281e+00 5.531851860198071835e-12 4.679501824400520325e-11
8.581293477999999197e+00 5.125072618046570321e-12 4.821048376646422605e-11
8.802572168999999391e+00 4.748205482717037973e-12 4.957343371863111042e-11
9.029556789000000805e+00 4.399050899883211262e-12 5.081750469503638903e-11
9.262394474000000599e+00 4.075571053367173151e-12 5.188600469061588670e-11
9.501236151000000518e+00 3.775877975521520316e-12 5.295144028014180695e-11
9.746236638999999258e+00 3.498222531465620761e-12 5.256330954301239486e-11
9.997554751999999212e+00 3.240984205430168283e-12 5.165453777260989764e-11
1.025535340000000062e+01 3.002661643691702741e-12 5.069757142222650182e-11
1.051979968000000021e+01 2.781863897496947278e-12 4.909611217003923565e-11
1.079106501999999956e+01 2.577302294348407664e-12 4.752938483419720064e-11
1.106932525999999939e+01 2.387782923645544882e-12 4.587939235410135595e-11
1.135476075999999956e+01 2.212199673193579733e-12 4.415110482202427380e-11
1.164755654000000007e+01 2.049527764579121674e-12 4.244396722615265291e-11
1.194790242000000013e+01 1.898817771231455712e-12 4.072123785436615476e-11
1.225599305999999977e+01 1.759190088309868738e-12 3.900878662685186625e-11
1.257202816999999939e+01 1.629829790876206143e-12 3.742780386061378458e-11
1.289621263000000084e+01 1.509981871748467583e-12 3.610504921434182898e-11
1.322875656000000077e+01 1.398946851689452394e-12 3.479812725545991075e-11
