#um    star(nufnu) model
1.356987552000000008e+01 1.296076681665793734e-12 3.384396868692236144e-11
1.391979062999999961e+01 1.200770968274490394e-12 3.303368759977558586e-11
1.427872872000000015e+01 1.112473464602599801e-12 3.238505524387018234e-11
1.464692244000000088e+01 1.030668831659721805e-12 3.259632992302251111e-11
1.502461047000000072e+01 9.548796206531837051e-13 3.284431703654998736e-11
1.541203763000000038e+01 8.846634943797793778e-13 3.320535325964078876e-11
1.580945503999999957e+01 8.196106415405539806e-13 3.366719193791583593e-11
1.621712034000000102e+01 7.593413853014467946e-13 3.416738388372930766e-11
1.663529774999999944e+01 7.035039696393591594e-13 3.430301756802106585e-11
1.706425837000000101e+01 6.517725022933004788e-13 3.445245179508468086e-11
1.750428022999999911e+01 6.038450575937138798e-13 3.456380171528307500e-11
1.795564857000000103e+01 5.594419099355075379e-13 3.457335183888396985e-11
1.841865598000000048e+01 5.183039034838736560e-13 3.461287907641929259e-11
1.889360256999999876e+01 4.801909397373437548e-13 3.436921008437885527e-11
1.938079620999999975e+01 4.448805750881200266e-13 3.404276508440905056e-11
1.988055270999999991e+01 4.121667230967045426e-13 3.370964521957059681e-11
2.039319602000000131e+01 3.818584516143899479e-13 3.327415639127703834e-11
2.091905842999999976e+01 3.537788690396709223e-13 3.284540386387849082e-11
2.145848082999999917e+01 3.277640905061213601e-13 3.250787577044379730e-11
2.201181285999999915e+01 3.036622830144154698e-13 3.224553936853947343e-11
2.257941320000000118e+01 2.813327781180226447e-13 3.199204415878338809e-11
2.316164978000000119e+01 2.606452511644946978e-13 3.190038402274153089e-11
2.375890001999999868e+01 2.414789609481133502e-13 3.182682164218452013e-11
2.437155105000000077e+01 2.237220449473477720e-13 3.179670500564887504e-11
2.500000000000000000e+01 2.072708661934876300e-13 3.183309790623869608e-11
3.073733534000000134e+01 1.115217671429740007e-13 2.975636333983111831e-11
3.779135136000000017e+01 6.000411333263306555e-14 2.606784352622715651e-11
4.646421758999999696e+01 3.228511985858711100e-14 2.305465725121955408e-11
5.712744949999999733e+01 1.737095851607525965e-14 2.005618002087036288e-11
7.023782289999999762e+01 9.346417209988529011e-15 1.677987681582326956e-11
8.635694064999999853e+01 5.028825241121642056e-15 1.374161526722713592e-11
1.061752898000000016e+02 2.705751597897645796e-15 1.137771283955167976e-11
1.305418194000000085e+02 1.455825439371329396e-15 9.775410579039562547e-12
1.605003072000000088e+02 7.833046129930170482e-16 8.768008293280247787e-12
1.973340705999999898e+02 4.214558286706854207e-16 7.967561265574291014e-12
2.426209401000000128e+02 2.267636530753347410e-16 6.938687444878806824e-12
2.983008479000000079e+02 1.220098308130756224e-16 5.591198290698987800e-12
3.667589277999999808e+02 6.564719968650152704e-17 4.113022469148567960e-12
4.509276861999999824e+02 3.532137366688705022e-17 2.694474227473392356e-12
5.544126201999999921e+02 1.900461016228950934e-17 1.577609612914387354e-12
6.816466649999999845e+02 1.022540093571815671e-17 8.650581623398702745e-13
8.380800851000000193e+02 5.501761068853735053e-18 4.450278279712901940e-13
1.030413945000000012e+03 2.960213984511027311e-18 2.154370544968649642e-13
1.266887157999999999e+03 1.592738530311491375e-18 9.912257944121514952e-14
1.557629417000000103e+03 8.569704889449581632e-19 4.318857463869077604e-14
1.915095109000000093e+03 4.610916385683595582e-19 1.735557011648097403e-14
2.354596824000000197e+03 2.480896387836836499e-19 6.434821396585246411e-15
2.894961287000000084e+03 1.334842442586643489e-19 2.219035058296772752e-15
3.559335834999999861e+03 7.182098998307665718e-20 7.315963858801394641e-16
4.376179965999999695e+03 3.864317195188497738e-20 2.367719781752589579e-16
5.380484445000000051e+03 2.079189856401371443e-20 6.608854010209028284e-17
6.615270188000000417e+03 1.118704868032227227e-20 1.900218051264618292e-17
8.133431126000000404e+03 6.019174140620230975e-21 6.555471183462762809e-18
1.000000000000000000e+04 3.238607284117265554e-21 2.382931612570586644e-18
